window,round,size_pack_mib,time_cost_s
256,0,14.1,47.8221
256,1,21.88,39.3810
256,2,31.95,41.7262
256,3,32.96,2.8865
256,4,33.98,2.9419
256,5,37.76,26.0382
256,6,38.97,2.8252
256,7,40.04,2.4112
256,8,42.32,15.5196
256,9,44.56,13.5821
256,10,47.14,13.7190
256,11,49.49,11.7214
256,12,50.13,1.0123
128,0,14.12,12.9407
128,1,21.9,11.4330
128,2,31.95,10.2810
128,3,32.96,3.0252
128,4,33.98,2.8284
128,5,37.76,11.3746
128,6,38.94,2.0353
128,7,40.0,1.1438
128,8,42.27,8.2619
128,9,44.48,7.3395
128,10,47.04,4.8830
128,11,49.38,4.5395
128,12,50.02,0.9943
64,0,14.1,5.9573
64,1,21.87,4.2793
64,2,31.89,4.8605
64,3,32.92,1.5749
64,4,33.93,1.0941
64,5,37.68,3.6433
64,6,38.87,1.1415
64,7,39.93,0.8794
64,8,42.19,2.6064
64,9,44.39,2.3814
64,10,46.96,1.8201
64,11,49.28,3.0814
64,12,49.92,0.9938
32,0,14.11,4.3387
32,1,21.87,2.7759
32,2,31.9,3.3056
32,3,32.92,0.8506
32,4,33.92,0.8276
32,5,37.66,1.5029
32,6,38.84,1.0069
32,7,39.88,0.8329
32,8,42.12,1.0915
32,9,44.32,1.0241
32,10,46.86,1.2822
32,11,49.18,1.2403
32,12,49.82,0.8649
16,0,14.11,3.2081
16,1,21.89,2.1893
16,2,31.87,2.6358
16,3,32.9,0.4857
16,4,33.88,0.4538
16,5,37.6,1.0226
16,6,38.77,0.5662
16,7,39.8,0.5365
16,8,42.02,0.6875
16,9,44.2,0.6786
16,10,46.72,0.8234
16,11,49.0,0.7619
16,12,49.64,0.4725
8,0,14.12,2.5972
8,1,21.92,1.7759
8,2,31.9,2.2039
8,3,32.93,0.3804
8,4,33.9,0.3643
8,5,37.62,0.8634
8,6,38.78,0.4257
8,7,39.8,0.3871
8,8,41.97,0.6143
8,9,44.14,0.6151
8,10,46.63,0.6860
8,11,48.87,0.6501
8,12,49.5,0.3464
4,0,14.11,2.2593
4,1,21.9,1.5776
4,2,31.75,1.9605
4,3,32.73,0.3418
4,4,33.66,0.3264
4,5,37.35,0.7710
4,6,38.48,0.3882
4,7,39.45,0.3488
4,8,41.6,0.5743
4,9,43.72,0.5751
4,10,46.14,0.6430
4,11,48.32,0.6138
4,12,48.93,0.3257
2,0,14.09,2.1569
2,1,21.89,1.5102
2,2,31.79,1.8965
2,3,32.73,0.3361
2,4,33.62,0.3186
2,5,37.26,0.7426
2,6,38.34,0.3778
2,7,39.28,0.3448
2,8,41.43,0.5584
2,9,43.52,0.5653
2,10,45.94,0.6261
2,11,48.14,0.5981
2,12,48.69,0.3106
1,0,14.1,2.0760
1,1,21.98,1.5570
1,2,31.85,1.8669
1,3,32.8,0.3131
1,4,33.73,0.3175
1,5,37.42,0.7620
1,6,38.57,0.3565
1,7,39.56,0.3322
1,8,41.73,0.5471
1,9,43.88,0.5574
1,10,46.37,0.6111
1,11,48.62,0.5804
1,12,49.2,0.2937
0,0,14.09,22.6066
0,1,21.08,38.4295
0,2,25.59,35.2030
0,3,25.77,38.0845
0,4,25.91,39.4303
0,5,28.18,40.6319
0,6,28.57,43.6542
0,7,28.78,29.9265
0,8,29.33,34.1544
0,9,29.7,35.6284
0,10,30.15,38.1565
0,11,30.58,41.4279
0,12,30.7,39.0234
